Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0xbb9188d74789d72afdd26ef27d220b3b1dc14b9e13aa068efdf97da865666e88","Success","Redeem","43534368","2024-10-29 06:24:30","0xB47be7126009a70f4F304d4Fb8E342Bbc2fA10ce","","0xA07c5b74C9B40447a954e1466938b865b6BBea36","Venus: vBNB Token","0 BNB","$0.00","0.00732563"
"0xa3b1c7d5547c9be2bb04f0dd8a82fc24cd90884b02011f9127031aeacbf4dd4f","Success","Repay Borrow","43534252","2024-10-29 06:18:42","0x6A9B8002aD857c15Dc63D1dd061a868319945821","","0xA07c5b74C9B40447a954e1466938b865b6BBea36","Venus: vBNB Token","3.05 BNB","$1,846.13","0.00015166"
"0x781ff67c14f08c19b87f6dd0115b3d668f3a69f6d4a919958078aa16604bbf15","Success","Approve","43533977","2024-10-29 06:04:57","0xd7ffeE0ae0BE95784a8ba88233c35412060B4C4C","","0xA07c5b74C9B40447a954e1466938b865b6BBea36","Venus: vBNB Token","0 BNB","$0.00","0.00004638"
"0xd1b40b5b82c06369c731ca864f109780578748c26fb9915158eb6039e8afa39b","Success","Redeem Underlying","43533368","2024-10-29 05:34:30","0x647a19E536Db6A4e3E88E7B28Be30B4206176044","","0xA07c5b74C9B40447a954e1466938b865b6BBea36","Venus: vBNB Token","0 BNB","$0.00","0.00094322"
"0x79bfb0569c7e06eea251fce4b24ab4539c33b63479d1444ff95c7f0915405ad2","Success","Mint","43533042","2024-10-29 05:18:12","0x6aF512f7c3771C5741d19845da512EBa56f275aF","","0xA07c5b74C9B40447a954e1466938b865b6BBea36","Venus: vBNB Token","0.1 BNB","$60.53","0.00058715"
"0x9627183e1f5f92fa0ec301022363df7dddf64a8cd924ea7ee6a934416d5abe04","Success","Approve","43532323","2024-10-29 04:42:14","0x9902f97D126c1173dAb7aEb922BC1E493AAd8410","","0xA07c5b74C9B40447a954e1466938b865b6BBea36","Venus: vBNB Token","0 BNB","$0.00","0.00004638"
"0xe8c7f3061e2cab340fc30f8d422ddfffe896cbebe59dc707913ece46800a869a","Success","Mint","43532281","2024-10-29 04:40:08","0xa3E56A7d3C97681D443dE712e3d397D8d8D8A077","","0xA07c5b74C9B40447a954e1466938b865b6BBea36","Venus: vBNB Token","106.5 BNB","$64,463.08","0.00053576"
"0xa568ebdbc277c61540fa9313ab78e85ae7d371bac435784a12a0b0a8325b7b4a","Success","Mint","43532098","2024-10-29 04:30:59","0x0E1BEdCc29561dcb9972F789335D75C9d6Ea26c0","","0xA07c5b74C9B40447a954e1466938b865b6BBea36","Venus: vBNB Token","0.01648641 BNB","$9.98","0.00019571"
"0xcbee8f90fa69feaa93e2ed062a91763ed57abc63290eacb4bf093bee2f52003a","Success","Approve","43531020","2024-10-29 03:37:05","0xDffF8819f198e564Fdfb4Cb45b7E53c28365737c","","0xA07c5b74C9B40447a954e1466938b865b6BBea36","Venus: vBNB Token","0 BNB","$0.00","0.00004638"
"0xeab40f70847e09133a9ab9ec5165ba603d89a6bdf4729edeea1787dee3828a69","Success","Redeem","43530486","2024-10-29 03:10:23","0xB3757bbBc04e05D7042d5Eb462c02fB12a6dd3cE","","0xA07c5b74C9B40447a954e1466938b865b6BBea36","Venus: vBNB Token","0 BNB","$0.00","0.00016251"
"0x5f193abb86357cda199e46427dbd6d14a8422c77bc12fbabe42b4622547460a2","Success","Approve","43530473","2024-10-29 03:09:44","0xB2b5D62852A2960Bb66fDd88747a607Ca7b8c4A7","","0xA07c5b74C9B40447a954e1466938b865b6BBea36","Venus: vBNB Token","0 BNB","$0.00","0.00004638"
"0xeac5d9c93679e6f54ebca0b732fd6a695826d5146ef26306214eca9ee344497d","Success","Mint","43530433","2024-10-29 03:07:44","0x2142468f977DE3ED4a6e55fC0880D5884Eec7D2f","","0xA07c5b74C9B40447a954e1466938b865b6BBea36","Venus: vBNB Token","1.5 BNB","$907.93","0.00047608"
"0x4072ab4a631e78d62f13a341c3e3de2d213ddb9474baf59db8a7df209212475b","Success","Approve","43530236","2024-10-29 02:57:53","0x0B67eDC4136B55ce763623D65fF9E980222b7C6B","","0xA07c5b74C9B40447a954e1466938b865b6BBea36","Venus: vBNB Token","0 BNB","$0.00","0.00004638"
"0x0e793b8a78c1c9aae9bd5f11ea891c6fbb3d7084293fc48d1c005d1d12b185dd","Success","Redeem Underlying","43530174","2024-10-29 02:54:47","0x8fa6dF0FF77bBc015A21e35a0c692796DE1fD816","","0xA07c5b74C9B40447a954e1466938b865b6BBea36","Venus: vBNB Token","0 BNB","$0.00","0.00016225"
